id,titulo,anio,editorial_institucion,tipo_doc,pais,departamento,nombre_revista_compilacion,numero_revista,autor,ciudad,temas,url,obs,img,file_img
262,Planificación y gestión autónoma de los servicios básicos en la zona sur de Cochabamba (Bolivia),2011,Universidad Internacional de Andalucia,libro,España,,,,Lara A.,Cochabamba,"participación social,barrios populares",https://dspace.unia.es/handle/10334/828,,https://labtecnosocial.org/explora-bib/urbana/262.png,262.png
263,Identidad e imagen de la ciudad de Santa Cruz de la sierra-Bolivia,2011,UPSA,articulo de investigación,Bolivia,Santa Cruz,Revista Aportes de la Comunicación y la Cultura,15,Steinbach I.,Santa Cruz,identidad,http://www.scielo.org.bo/scielo.php?pid=S2306-86712011000100008&script=sci_arttext,,https://labtecnosocial.org/explora-bib/urbana/263.jpeg,263.jpeg
264,Migración Siglo XXI: imaginarios y ciudadanía (VA),2012,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,25,Yepez del Castillo I.,Urbanización boliviana,imaginarios urbanos,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/264.jpeg,264.jpeg
265,"Coronilla: heroínas, memoria y coraje (VA)",2012,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,25,Vallejo G.,Cochabamba,"historia,género",https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/265.jpeg,265.jpeg
266,Mestizaje y disputas sociales en la construcción histórica de la ciudad de Cochabamba,2012,CESU - UMSS,entrevista,Bolivia,Cochabamba,Decursos,26,Solares H.,Cochabamba,historia,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/266.jpeg,266.jpeg
267,Espacio y territorio. Instrumentos metodológicos de investigación social,2012,PIEB,libro,Bolivia,La Paz,,,Mazurek H.,Urbanización boliviana,investigación urbana,https://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers20-06/010038553.pdf,,https://labtecnosocial.org/explora-bib/urbana/267.jpeg,267.jpeg
268,Cochabamba: ¿Del mestizaje idílico al mestizaje conflictivo?,2012,PIEB,ensayo,Bolivia,La Paz,T'inkazos,31,Torrez Y.,Cochabamba,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_31.pdf,,https://labtecnosocial.org/explora-bib/urbana/268.jpeg,268.jpeg
269,Migración Interna: Una aproximación a sus factores asociados,2012,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,32,"Pereira Morato R.,Montaño Garcia J.",Urbanización boliviana,migración,https://repositorio.umsa.bo/bitstream/handle/123456789/16303/Temas%20Sociales%2032-FINAL.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/269.jpeg,269.jpeg
270,Movilidad humana e itinerarios rural-urbano en el departamento de La Paz,2012,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,32,Villegas H.,La Paz,migración,https://repositorio.umsa.bo/bitstream/handle/123456789/16303/Temas%20Sociales%2032-FINAL.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/270.jpeg,270.jpeg
271,Formas de inserción de la población periurbana a la dinámica citadina. Municipio de El Alto-Zona Mercedario,2012,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,32,Flores Quispe G.,El Alto,desigualdad,https://repositorio.umsa.bo/bitstream/handle/123456789/16303/Temas%20Sociales%2032-FINAL.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/271.jpeg,271.jpeg
272,"Nuevas Dinámicas de Migración Cochabambina. Trayectorias, Reconfiguraciones Familiares y Transnacionalismo",2012,CEPLAG,libro,Bolivia,Cochabamba,,,CEPLAG,Cochabamba,migración,http://www.ceplag.umss.edu.bo/admin/imagenes/libros/LIBRO%20NUEVAS%20DIN%C3%80MICAS%20EN%20LA%20MIGRACION%20CBBA.pdf,,https://labtecnosocial.org/explora-bib/urbana/272.jpeg,272.jpeg
273,La región metropolitana boliviana de La Paz-El Alto,2012,Universidad Nacional de Nordeste,ensayo,Argentina,Chaco,"Cuaderno urbano: espacio, cultura, sociedad",13,Barrientos A.,"La Paz,El Alto",metropolización,http://www.scielo.org.ar/pdf/cuba/v13n13/v13n13a10.pdf,,https://labtecnosocial.org/explora-bib/urbana/273.jpeg,273.jpeg
274,Quisiera ser chofercito del carro de esa señora. Representaciones audiovisuales de la movilidad,2012,Universidad de Buenos Aires,articulo de investigación,Argentina,,Revista Transporte y Territorio,6,de Marchi B.,La Paz,"transporte,empleo",https://www.researchgate.net/publication/277259806_Quisiera_ser_chofercito_del_carro_de_esa_senora_representaciones_audiovisuales_de_la_movilidad,,https://labtecnosocial.org/explora-bib/urbana/274.jpeg,274.jpeg
275,Perder el norte. Condiciones políticas y sociológicas del 11 de enero en Cochabamba,2012,"CESU - UMSS,Ciudadanía",libro,Bolivia,Cochabamba,,,"Mayorga F.,Moreno D.,Vargas G.",Cochabamba,"discriminación,segregación socioespacial,violencia",https://www.ciudadaniabolivia.org/sites/default/files/archivos_articulos/2012%20Perder%20el%20norte.pdf,,https://labtecnosocial.org/explora-bib/urbana/275.jpeg,275.jpeg
276,Calidad de vida y espacio urbano,2013,CESU - UMSS,articulo de investigación,Bolivia,Cochabamba,Decursos,"27,28",Arebalo M.,Urbanización boliviana,desigualdad,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/276.jpeg,276.jpeg
277,"Migrantes, paisanos y comerciantes. Prácticas sociales y económicas en la Zona Franca de Cobija (1998 - 2011)",2013,"PIEB,Cooperación Países Bajos",libro,Bolivia,La Paz,,,"Carlo C.,Aguilar C.,Ventura L.,Arauz I.",Cobija,"migración,comercio",https://docplayer.es/95414615-Migrantes-paisanos-y-comerciantes-practicas-sociales-y-economicas-en-la-zona-franca-de-cobija.html,,https://labtecnosocial.org/explora-bib/urbana/277.png,277.png
278,"Municipalismo de base estrecha. La Guardia, Viacha, Quillacollo: La difícil emergencia de nuevas élites",2013,"PIEB,Cooperación de Países Bajos",libro,Bolivia,La Paz,,,"Ayo D.,Fernandez M.,Kudelka A.,Arequipa M.,Moldiz C.","La Guardia,Viacha,Quillacollo","élites,gestión municipal",http://koha.musef.org.bo/cgi-bin/koha/opac-detail.pl?biblionumber=13828,,https://labtecnosocial.org/explora-bib/urbana/278.png,278.png
279,"""Hacer plata sin plata"". El desborde de los comerciantes populares en Bolivia",2013,"PIEB,Cooperación de Países Bajos",libro,Bolivia,La Paz,,,"Tassi N.,Medeiros C.,Rodriguez-Carmona A.,Ferrifuno G.",Urbanización boliviana,comercio,https://www.academia.edu/28137183/Hacer_plata_sin_plata_El_desborde_de_los_comerciantes_populares_en_Bolivia_investigaci%C3%B3n_completa_PIEB_2013_,,https://labtecnosocial.org/explora-bib/urbana/279.png,279.png
280,"Chulumani Flor de Clavel. Transformaciones urbanas y rurales, 1998-2012",2013,"PIEB,Cooperación de Países Bajos",libro,Bolivia,La Paz,,,"Spedding A.,Flores G.,Aguilar N.",Chulumani,demografía,https://docslib.org/doc/13020237/chulumani-flor-de-clavel-transformaciones-urbanas-y-rurales-1998-2012-alison-spedding-pallet-gumercindo-flores-quispe-nelson-aguilar-l%C3%B3pez,,https://labtecnosocial.org/explora-bib/urbana/280.png,280.png
281,Redes económicas y sociales del transporte interprovincial en Santa Cruz. Estudio exploratorio,2013,"PIEB,jatupeando,Cooperación de Países Bajos",libro,Bolivia,La Paz,,,"Sandoval D.,Chirino F.,Gutierrez G.",Santa Cruz,"transporte,empleo",https://es.scribd.com/document/389679461/BPIEB-61-217-Redes,,https://labtecnosocial.org/explora-bib/urbana/281.jpeg,281.jpeg
282,Diagnóstico de las necesidades de formación técnica y tecnológica en la Ciudadela Andrés Ibáñez - Plan 3000,2013,"UAGRM,Museo de historia Santa Cruz,PIEB,Cooperación de Países Bajos",libro,Bolivia,Santa Cruz,,,"Severiche S.,Infantas K.,Selaya I.",Santa Cruz,educación,http://www.scielo.org.bo/pdf/rbcst/v17n36/n36_a07.pdf,,https://labtecnosocial.org/explora-bib/urbana/282.jpeg,282.jpeg
283,Ritual político y cívico en la fiesta del Corpus Christi de Cochabamba (siglo XVII-XIX),2013,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Revista Estudios Bolivianos,19,Quispe Escobar A.,Cochabamba,fiestas,https://www.ieb.edu.bo/images/pdf-revistas/EB019.pdf,,https://labtecnosocial.org/explora-bib/urbana/283.jpeg,283.jpeg
284,Características de las ciudades bolivianas,2013,CEDIB,ensayo,Bolivia,Cochabamba,Villas Rebeldes. Apuntes sobre las organizaciones vecinales de la periferie urbana en Bolivia,,Torrico E.,Urbanización boliviana,demografía,https://cedib.org/wp-content/uploads/2012/08/VillasRebeldes5-2.pdf,,https://labtecnosocial.org/explora-bib/urbana/284.jpeg,284.jpeg
285,"Actores urbanos en la Guerra del Agua. Villa Felicidad, de obreros a comerciantes.",2013,CEDIB,articulo de investigación,Bolivia,Cochabamba,Villas Rebeldes. Apuntes sobre las organizaciones vecinales de la periferie urbana en Bolivia,,"Ventura G.,Torrico C.",Cochabamba,"movimientos sociales,barrios populares",https://cedib.org/wp-content/uploads/2012/08/VillasRebeldes5-2.pdf,,https://labtecnosocial.org/explora-bib/urbana/285.jpeg,285.jpeg
286,"Actores urbanos en la Masacre de Octubre. Villa Santiago Segundo, El Alto.",2013,CEDIB,articulo de investigación,Bolivia,Cochabamba,Villas Rebeldes. Apuntes sobre las organizaciones vecinales de la periferie urbana en Bolivia,,Canedo G.,El Alto,"movimientos sociales,barrios populares",https://cedib.org/wp-content/uploads/2012/08/VillasRebeldes5-2.pdf,,https://labtecnosocial.org/explora-bib/urbana/286.jpeg,286.jpeg
287,Actores urbanos en resistencia. El plan 3000 en septiembre de 2008,2013,CEDIB,articulo de investigación,Bolivia,Cochabamba,Villas Rebeldes. Apuntes sobre las organizaciones vecinales de la periferie urbana en Bolivia,,Torrico E.,Santa Cruz,"movimientos sociales,barrios populares",https://cedib.org/wp-content/uploads/2012/08/VillasRebeldes5-2.pdf,,https://labtecnosocial.org/explora-bib/urbana/287.jpeg,287.jpeg
288,El agua nuestra de cada día. Retos e iniciativas de una Cochabamba incluyente y solidaria,2013,CEPLAG,libro,Bolivia,,,,Ledo C.,Cochabamba,"agua,desigualdad",http://www.ceplag.umss.edu.bo/admin/imagenes/libros/El%20agua%20nuestra%20de%20cada%20dia%202013%20-%20protegido.pdf,,https://labtecnosocial.org/explora-bib/urbana/288.jpeg,288.jpeg
289,Territorio e identidades. El espacio como referente de identificación en los discursos radiales de los sujetos populares de la ciudad de La Paz Bolivia,2013,IIACH - UMSS,articulo de investigación,Bolivia,Cochabamba,Urbimetría. Revista boliviana de Estudios del Hábitat,1,Choque M.,La Paz,"identidad,organización socioespacial",https://www.iiach.org/copia-de-publicaciones-en-el-tiempo?lightbox=dataItem-kciib1k12,,https://labtecnosocial.org/explora-bib/urbana/289.jpeg,289.jpeg
290,La urbanización de los riesgos. Camino a la insustentabilidad urbana,2013,IIACH - UMSS,ensayo,Bolivia,,Urbimetría. Revista boliviana de Estudios del Hábitat,1,Bolivar H.,Urbanización boliviana,riesgo,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo?lightbox=dataItem-kciib1k12,,https://labtecnosocial.org/explora-bib/urbana/290.jpeg,290.jpeg
291,Nuevas Emergencias contemporáneas para la construcción de la ciudad y el territorio,2013,IIACH - UMSS,ensayo,Bolivia,,Urbimetría. Revista boliviana de Estudios del Hábitat,1,Fernandez Valverrama L.,Urbanización boliviana,vivienda,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo?lightbox=dataItem-kciib1k12,,https://labtecnosocial.org/explora-bib/urbana/291.jpeg,291.jpeg
292,Ética de la sustentabilidad,2013,IIACH - UMSS,ensayo,Bolivia,,Urbimetría. Revista boliviana de Estudios del Hábitat,1,Quiroga M.,Urbanización boliviana,vivienda,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo?lightbox=dataItem-kciib1k12,,https://labtecnosocial.org/explora-bib/urbana/292.jpeg,292.jpeg
293,Valoración económica de los servicios ambientales del Parque Nacional Tunari (Cochabamba),2013,IIACH - UMSS,articulo de investigación,Bolivia,Cochabamba,Urbimetría. Revista boliviana de Estudios del Hábitat,1,Torrez G.,Cochabamba,medio ambiente,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo?lightbox=dataItem-kciib1k12,,https://labtecnosocial.org/explora-bib/urbana/293.jpeg,293.jpeg
294,Estimación de niveles y factores determinantes de la competitividad metropolitana en Bolivia,2013,IIACH - UMSS,ensayo,Bolivia,,Urbimetría. Revista boliviana de Estudios del Hábitat,1,Manzano N.,"Cochabamba,La Paz,Santa Cruz",metropolización,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo?lightbox=dataItem-kciib1k12,,https://labtecnosocial.org/explora-bib/urbana/294.jpeg,294.jpeg
295,"Caracterización de la biodiversidad urbana en la cuenca central de Cochabamba, Bolivia",2013,UCB,articulo de investigación,Bolivia,Cochabamba,Revista Acta Nova,1-2,Cordova Stroobandt K.,Cochabamba,"medio ambiente,biodiversidad",http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1683-07892013000100009,,https://labtecnosocial.org/explora-bib/urbana/295.jpeg,295.jpeg
296,El derecho a la ciudad y los desafíos de la gestión metropolitana del suelo,2014,CESU - UMSS,ensayo,Bolivia,Cochabamba,Decursos,29,Borda Orellana A.,El Alto,desigualdad,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/296.jpeg,296.jpeg
297,Empleo y trabajadores en la ciudad de El Alto,2014,CIDES - UMSA,articulo de investigación,Bolivia,La Paz,Mundos del trabajo en transformación. Entre lo local y lo global,,"Zamora E.,Contreras A.",El Alto,empleo,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=44&catid=14&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/297.jpeg,297.jpeg
298,Transporte sin rumbo. El transporte público urbano y los desafíos de la modernización en Santa Cruz de la Sierra,2014,"CEDURE,PIEB,jatupeando",libro,Bolivia,Santa Cruz,,,"Urzagasti E.,Tayarapo B.,Justiniano H.",Santa Cruz,transporte,https://docplayer.es/97496696-Transporte-sin-rumbo-el-transporte-publico-urbano-y-los-desafios-de-modernizacion-en-santa-cruz-de-la-sierra.html,,https://labtecnosocial.org/explora-bib/urbana/298.png,298.png
299,La planificación urbana y su impacto en la calidad de vida en Santa Cruz de la Sierra,2014,"CEDURE,PIEB,jatupeando",libro,Bolivia,Santa Cruz,,,"Gonzales G.,Serrano J.",Santa Cruz,planificación urbana,http://www.pieb.com.bo/2016/BPIEB/BPIEB_74_230_Urbana.pdf,,https://labtecnosocial.org/explora-bib/urbana/299.jpeg,299.jpeg
300,"Generación WiFi. Facebook, Twitter y Youtube: Espacios de participación, libertad y ocio de los jóvenes en Santa Cruz de la Sierra",2014,"CEDURE,PIEB,jatupeando",libro,Bolivia,Santa Cruz,,,"Mamani J.,Gutierrez F.,Vaca H.",Santa Cruz,"internet,tecnología",https://docplayer.es/92973954-Generacion-wifi-facebook-twitter-y-youtube-espacios-de-participacion-libertad-y-ocio-de-los-jovenes-en-santa-cruz-de-la-sierra.html,,https://labtecnosocial.org/explora-bib/urbana/300.png,300.png
301,Discurso y hegemonía en el proceso autonómico cruceño (2001 - 2013),2014,"CEDURE,PIEB,jatupeando",libro,Bolivia,Santa Cruz,,,"Marca J.,Baigoria L.,Velarde M.",Santa Cruz,política,https://pdfcoffee.com/discurso-y-hegemonia-crucea-pdf-free.html,,https://labtecnosocial.org/explora-bib/urbana/301.png,301.png
302,Santa Cruz: quince años de profundas transformaciones,2014,PIEB,entrevista,Bolivia,La Paz,T'inkazos,36,Prado F.,Santa Cruz,historia,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_36.pdf,,https://labtecnosocial.org/explora-bib/urbana/302.jpeg,302.jpeg
303,"El transporte público en Santa Cruz, una deuda con la ciudad",2014,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,36,Urzagasti E.,Santa Cruz,transporte,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_36.pdf,,https://labtecnosocial.org/explora-bib/urbana/303.jpeg,303.jpeg
304,La planificación urbana y su impacto en la ciudad de Santa Cruz de la Sierra,2014,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,36,"Gonzales F.,Serrano J.",Santa Cruz,planificación urbana,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_36.pdf,,https://labtecnosocial.org/explora-bib/urbana/304.jpeg,304.jpeg
305,Diagnóstico de las necesidades de formación técnica y tecnológica de los jóvenes del Plan 3.000,2014,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,36,"Severiche S.,Selaya I.,Infantas K.",Santa Cruz,educación,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_36.pdf,,https://labtecnosocial.org/explora-bib/urbana/305.jpeg,305.jpeg
306,Desde la calle: Adolescentes enamorados.,2014,PIEB,reseña,Bolivia,La Paz,T'inkazos,36,Sanabria C.,Santa Cruz,juventud,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_36.pdf,,https://labtecnosocial.org/explora-bib/urbana/306.jpeg,306.jpeg
307,¿Mundos femeninos? Los espacios de sociabilidad de las mujeres en la ciudad de La Paz a inicios del siglo XIX,2014,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Revista Estudios Bolivianos,21,Soux M.,La Paz,género,https://www.ieb.edu.bo/images/pdf-revistas/Est.%20Bol.%2021.pdf,,https://labtecnosocial.org/explora-bib/urbana/307.jpeg,307.jpeg
308,Violencia delictiva e inseguridad ciudadana,2014,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,35,Moreno Valdivia A.,Urbanización boliviana,"violencia,inseguridad ciudadana",https://repositorio.umsa.bo/bitstream/handle/123456789/16326/Temas%20Sociales%2035.pdf,,https://labtecnosocial.org/explora-bib/urbana/308.jpeg,308.jpeg
309,Los barrios suicidas de La Paz. El nuevo urbanismo en las laderas periurbanas de riesgo en la ciudad de La Paz,2014,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,35,Ballesteros Trujillo B.,La Paz,"riesgo,inseguridad ciudadana",https://repositorio.umsa.bo/bitstream/handle/123456789/16326/Temas%20Sociales%2035.pdf?sequence=1&isAllowed=y,,https://labtecnosocial.org/explora-bib/urbana/309.jpeg,309.jpeg
310,Múltiples arreglos del hogar transnacional en la ciudad de Cochabamba,2014,CIDOB,articulo de investigación,España,Barcelona,Revista CIDOB d’Afers Internacionals,106-107,Ledo C.,Cochabamba,migración,https://www.cidob.org/en/articulos/revista_cidob_d_afers_internacionals/106_107/multiple_transnational_household_arrangements_in_the_city_of_cochabamba/(language)/eng-US,,https://labtecnosocial.org/explora-bib/urbana/310.png,310.png
311,El asentamiento irregular como principal fuente de crecimiento urbano en Bolivia. Entre la ilegalidad y constitucionalidad.,2014,Universidad de Salamanca,ensayo,España,Salamanca,América latina hoy: Revista de ciencias sociales,68,Vargas N.,Urbanización boliviana,asentamientos informales,https://renaseh-odhva.org/wp-content/uploads/2021/04/10923-Texto-del-articulo-44427-1-10-20150108.pdf,,https://labtecnosocial.org/explora-bib/urbana/311.jpeg,311.jpeg
312,Estudios de caso. Soluciones Estatales de viviendas en condominios,2014,Red Habitat,libro,Bolivia,,,,Red Habitat,"La Paz,El Alto",vivienda,http://35.231.160.168/wp-content/uploads/2021/03/SOLUCIOMES-HABITACIONALES.pdf,,https://labtecnosocial.org/explora-bib/urbana/312.jpeg,312.jpeg
313,Los desafíos de las ciudades vulnerables. Construcción de ciudad y construcción del riesgo en La Paz y El Alto,2014,"IFEA,IRD",ensayo,Perú,,Bulletin de l'Institut français d'etudes andines,43,Urquieta P.,"La Paz,El Alto","vulnerabilidad,riesgo",https://renaseh-odhva.org/wp-content/uploads/2021/04/bifea-5906.pdf,,https://labtecnosocial.org/explora-bib/urbana/313.jpeg,313.jpeg
314,El asentamiento irregular como principal fuente de crecimiento urbano en Bolivia: entre ilegalidad y constitucionalidad,2014,Universidad de Salamanca,ensayo,España,,América Latina Hoy,68,Vargas N.,Urbanización boliviana,asentamientos informales,https://www.redalyc.org/pdf/308/30832935012.pdf,,https://labtecnosocial.org/explora-bib/urbana/314.jpeg,314.jpeg
315,Santa Cruz de la Sierra y sus 450 años de ciudad. Colección Investigacruz 2.,2014,PIEB,reseña,Bolivia,La Paz,T'inkazos,35,Paz M.,Santa Cruz,historia,https://www.redalyc.org/pdf/4261/426141577013.pdf,,https://labtecnosocial.org/explora-bib/urbana/315.jpeg,315.jpeg
316,Vivienda social bioclimática sostenible. (guía de diseño modular) Una experiencia en la ciudad de El Alto,2014,Arquitectura - UPEA,libro,Bolivia,La Paz,,,"Calle V.,Sainz J.",El Alto,vivienda,https://issuu.com/vaniacalle/docs/vivienda_social_bioclim_tica_sostenible-,,https://labtecnosocial.org/explora-bib/urbana/316.png,316.png
317,Vida en la ciudad de La Paz,2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",ensayo,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,Gaymer M.,La Paz,cultura,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/317.png,317.png
318,"Saturno, Sistema alternativo de transporte para Ciudad Maravillosa",2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",ensayo,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,Bedregal J.,La Paz,transporte,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/318.png,318.png
319,Sistema de transporte masivo para el área metropolitana de La Paz,2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",ensayo,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,Espinosa O.,La Paz,transporte,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/319.png,319.png
320,Encuesta de percepción ciudadana sobre la calidad de Vida en la ciudad de La Paz,2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",articulo de investigación,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,Gaymer M.,La Paz,transporte,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/320.png,320.png
321,Sistema de transporte por cable,2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",ensayo,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,Dockweiller C.,La Paz,transporte,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/321.png,321.png
322,La Paz Bus - Puma Katari,2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",ensayo,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,Villarreal V.,La Paz,transporte,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/322.png,322.png
323,Declaración de La Paz: de la retórica a la práctica,2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",ensayo,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,Villanueva E.,La Paz,transporte,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/323.png,323.png
324,Análisis de la Vulnerabilidad espacial urbana a través de la red vial,2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",articulo de investigación,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,Nuñez J.,La Paz,transporte,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/324.png,324.png
325,Impactos urbanos teleférico - Puma Katari,2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",ensayo,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,Vargas J.,La Paz,transporte,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/325.png,325.png
326,Sistema vial de transportes en la Región Metropolitana,2014,"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",ensayo,Bolivia,La Paz,Memoria. Primer foro debate internacional sobre el sistema vial y de transportes en la región metropolitana de La Paz,,"Sainz J.,Calle V.,Sepulveda G.",La Paz,transporte,https://issuu.com/vaniacalle/docs/tapa_02-fusionado,,https://labtecnosocial.org/explora-bib/urbana/326.png,326.png
327,Pandillas Juveniles en La Paz. Características y dinámicas en el macrodistrito Max Paredes,2015,"GAM - La Paz,PIEB",libro,Bolivia,La Paz,,,"Mollericona J.,Copa J.,Villca S.",La Paz,"juventud,violencia",https://docplayer.es/52730359-Pandillas-juveniles-en-la-paz-caracteristicas-y-dinamicas-en-el-macrodistrito-max-paredes.html,,https://labtecnosocial.org/explora-bib/urbana/327.png,327.png
328,Comercio popular en vía pública. Estudio en el Macrodistrito Max Paredes de La Paz,2015,"GAM - La Paz,PIEB",libro,Bolivia,La Paz,,,"Pereira Morato R.,Velasco A.,Mendoza R.",La Paz,comercio,https://docplayer.es/126062604-Comercio-popular-en-via-publica-estudio-en-el-macrodistrito-max-paredes-de-la-paz.html,,https://labtecnosocial.org/explora-bib/urbana/328.png,328.png
329,La Paz: ¿ciudad moderna y sostenible?,2015,PIEB,entrevista,Bolivia,La Paz,T'inkazos,38,Sandoval G.,La Paz,gestión municipal,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_38.pdf,,https://labtecnosocial.org/explora-bib/urbana/329.jpeg,329.jpeg
330,"Max Paredes, el comercio popular y la apropiación del espacio público",2015,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,38,Pereira Morato R.,La Paz,comercio,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_38.pdf,,https://labtecnosocial.org/explora-bib/urbana/330.jpeg,330.jpeg
331,Transformaciones y tensiones: el nuevo mercado Lanza de La Paz,2015,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,38,Aramayo L.,La Paz,"comercio,mercados",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_38.pdf,,https://labtecnosocial.org/explora-bib/urbana/331.jpeg,331.jpeg
332,Pandillas juveniles en La Paz: entre la transgresión y el delito,2015,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,38,Mollericona J.,La Paz,"juventud,violencia",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_38.pdf,,https://labtecnosocial.org/explora-bib/urbana/332.jpeg,332.jpeg
